year,crop_en,crop_fr,production_kt,area_ha,yield_tha
2013,"Almonds, in shell",Amandes en coque,93.3103,155545.0,0.5999
2013,Barley,Orge,2722.62152,1967095.0,1.3840999999999999
2013,Olives,Olives,1181.67591,922235.0,1.2812999999999999
2013,Tomatoes,Tomates,1293.3195,14017.0,92.2686
2013,Watermelons,Pastèques,611.474,14104.0,43.354699999999994
2013,Wheat,Blé,6933.98262,3204231.0,2.164
2014,"Almonds, in shell",Amandes en coque,101.02571,159100.0,0.635
2014,Barley,Orge,1638.08622,1585216.0,1.0334
2014,Olives,Olives,1573.20649,946818.0,1.6616
2014,Tomatoes,Tomates,1230.9527,15717.0,78.3198
2014,Watermelons,Pastèques,724.915,15969.0,45.396
2014,Wheat,Blé,5115.88422,2986158.0,1.7132
2015,"Almonds, in shell",Amandes en coque,97.72296,160018.0,0.6107
2015,Barley,Orge,3396.99228,2000164.0,1.6984000000000001
2015,Olives,Olives,1144.23793,1006491.0,1.1369
2015,Tomatoes,Tomates,1412.38,17539.0,80.528
2015,Watermelons,Pastèques,706.643,18120.0,38.998
2015,Wheat,Blé,8074.65889,3273869.0,2.4664
2016,"Almonds, in shell",Amandes en coque,112.68053,165817.0,0.6795
2016,Barley,Orge,619.9186,1207615.0,0.5133
2016,Olives,Olives,1416.10653,1008365.0,1.4044
2016,Tomatoes,Tomates,1231.248,15239.0,80.7943
2016,Watermelons,Pastèques,437.061,12231.0,35.7339
2016,Wheat,Blé,2731.123,2413638.0,1.1315
2017,"Almonds, in shell",Amandes en coque,116.92346,170864.0,0.6842999999999999
2017,Barley,Orge,2466.462,2001473.0,1.2323
2017,Olives,Olives,1039.11684,1020569.0,1.0182
2017,Tomatoes,Tomates,1293.761,15888.0,81.4303
2017,Watermelons,Pastèques,619.332,16680.0,37.130199999999995
2017,Wheat,Blé,7090.817,3384225.0,2.0953000000000004
2018,"Almonds, in shell",Amandes en coque,117.27004,186255.0,0.6296
2018,Barley,Orge,2851.0221,1564460.0,1.8224
2018,Olives,Olives,1561.4651999999999,1045186.0,1.494
2018,Tomatoes,Tomates,1409.4371999999998,15955.0,88.3383
2018,Watermelons,Pastèques,742.3751,18941.0,39.1941
2018,Wheat,Blé,7320.620110000001,2842748.0,2.5751999999999997
2019,"Almonds, in shell",Amandes en coque,102.18544,190612.0,0.5361
2019,Barley,Orge,1161.18282,1050153.0,1.1057000000000001
2019,Olives,Olives,1912.2377099999999,1073493.0,1.7812999999999999
2019,Tomatoes,Tomates,1347.085,14861.0,90.64269999999999
2019,Watermelons,Pastèques,674.833,17430.0,38.716800000000006
2019,Wheat,Blé,4025.30252,2505987.0,1.6063
2020,"Almonds, in shell",Amandes en coque,134.43576000000002,209233.0,0.6425
2020,Barley,Orge,645.0323000000001,1495190.0,0.43139999999999995
2020,Olives,Olives,1409.2664499999998,1068895.0,1.3184
2020,Tomatoes,Tomates,1398.8311,14781.0,94.6365
2020,Watermelons,Pastèques,677.34525,16812.0,40.288599999999995
2020,Wheat,Blé,2561.8975,2845290.0,0.9004
2021,"Almonds, in shell",Amandes en coque,169.255,219013.0,0.7727999999999999
2021,Barley,Orge,2780.3453999999997,1489257.0,1.8669
2021,Olives,Olives,1590.504,1104083.0,1.4405999999999999
2021,Tomatoes,Tomates,1311.101,14875.0,88.1412
2021,Watermelons,Pastèques,824.103,19206.0,42.9086
2021,Wheat,Blé,7543.847900000001,2864567.0,2.6335
2022,"Almonds, in shell",Amandes en coque,175.763,226213.0,0.777
2022,Barley,Orge,696.3797900000001,1137328.0,0.6123
2022,Olives,Olives,1968.11094,1201308.0,1.6382999999999999
2022,Tomatoes,Tomates,1388.542,14956.0,92.8449
2022,Watermelons,Pastèques,602.9505,14258.0,42.288599999999995
2022,Wheat,Blé,2707.65217,2436350.0,1.1114000000000002
2023,"Almonds, in shell",Amandes en coque,146.05872,230797.0,0.6327999999999999
2023,Barley,Orge,1348.11449,1239809.0,1.0874000000000001
2023,Olives,Olives,1046.05565,1214934.0,0.861
2023,Tomatoes,Tomates,1444.6786000000002,14675.0,98.44489999999999
2023,Watermelons,Pastèques,462.71979999999996,14582.0,31.7313
2023,Wheat,Blé,4158.47149,2434223.0,1.7083
