AGRICULTURE,,,,,الفلاحة
,,,,,
3 - 5 Productions des principales céréales  ,,,,  3 - 5 إنتاج الحبوب الرئيسية  ,
        par région et province (ou préfecture),,,,         حسب الجهة والإقليم (أو العمالة),
,,,,,
Campagne 2022-2023,القمح الصلب,القمح الطري,الشعير,  الذرة, الموسم 2022-2023 
Production en milliers de quintaux,Blé dur,    Blé tendre,Orge,Maïs,الإنتاج بألف قنطار 
,,,,,
Tanger - Tétouan - Al Hoceima,"2 243,3","2 870,7","1 705,6","15,5", طنجة - تطوان - الحسيمة
  Al Hoceima ,"141,6","455,7","551,4",-,الحسيمة
  Chefchaouen,"187,5","388,7","235,1","0,6",شفشاون
  Fahs-Anjra,"30,3","2,9","72,7","3,0",الفحص-أنجرة
  Larache,"788,2","936,9","148,1","6,7",العرائش
  M'Diq-Fnideq,"9,4","20,3","12,7",-,المضيق ــ الفنيدق
  Ouezzane,"579,2","809,9","326,7",-,وزان
  Tanger-Assilah,"284,9","53,1","134,5","5,2",طنجة ــ أصيلة 
  Tétouan,"222,1","203,1","224,3",-,تطوان
L'Oriental,"90,0","220,0","384,9","1,5",الشرق
  Berkane,"14,9","7,4","7,8",-,بركان
  Driouch,"26,6","56,5","157,1",-,الدريوش 
  Figuig ,"5,7","8,5","52,7",-,فجيج
 Guercif,"31,4","36,6","28,6",-,جرسيف
  Jerada ,"1,2","3,8","2,7","1,5",جرادة
  Nador ,"6,3","53,4","99,7",-,الناضور
  Oujda-Angad ,"1,3","19,4","13,9",-,وجدة - أنجاد
  Taourirt,"2,6","34,5","22,5",-,تاوريرت
Fès - Meknès,"3 486,4","8 455,9","2 993,5","1,7",فاس ــ مكناس 
  Boulemane ,"130,3","123,1","82,0",-,بولمان
  El Hajeb ,"272,8","1 091,5","312,9",-,الحاجب
  Fès,"15,9","162,4","51,7",-,فاس 
  Ifrane ,"140,2","183,2","240,8","1,3",إفران
  Meknès,"298,8","1 450,6","323,1",-,مكناس 
  Moulay Yacoub ,"283,7","807,8","284,8",-,مولاي يعقوب
  Sefrou,"237,1","423,4","224,0","0,5",صفرو
  Taounate,"1 072,6","3 142,9","748,5",-,تاونات
  Taza,"1 034,8","1 071,1","725,6",-,تازة
Rabat - Salé - Kénitra ,"1 365,4","10 979,2","2 242,8","0,2",الرباط ــ سـلا ــ القنيطرة
  Kénitra ,"589,0","2 216,3","229,5",-,القنيطرة
  Khémisset ,"358,8","2 674,1","1 374,0",-,الخميسات
  Salé ,"23,8","225,5","76,7","0,2",سلا
  Sidi Kacem ,"344,5","4 406,1","251,4",-,سيدي قاسم
  Sidi Slimane ,"34,3","1 111,5","160,6",-,سيدي سليمان
