Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","504","Morocco","5312","Area harvested","01371","Almonds, in shell","2013","2013","ha","155545","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5412","Yield","01371","Almonds, in shell","2013","2013","kg/ha","599.9","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","01371","Almonds, in shell","2013","2013","t","93310.3","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5312","Area harvested","01371","Almonds, in shell","2014","2014","ha","159100","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5412","Yield","01371","Almonds, in shell","2014","2014","kg/ha","635","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","01371","Almonds, in shell","2014","2014","t","101025.71","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5312","Area harvested","01371","Almonds, in shell","2015","2015","ha","160018","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5412","Yield","01371","Almonds, in shell","2015","2015","kg/ha","610.7","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","01371","Almonds, in shell","2015","2015","t","97722.96","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5312","Area harvested","01371","Almonds, in shell","2016","2016","ha","165817","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5412","Yield","01371","Almonds, in shell","2016","2016","kg/ha","679.5","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","01371","Almonds, in shell","2016","2016","t","112680.53","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5312","Area harvested","01371","Almonds, in shell","2017","2017","ha","170864","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5412","Yield","01371","Almonds, in shell","2017","2017","kg/ha","684.3","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","01371","Almonds, in shell","2017","2017","t","116923.46","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","186255","A","Official figure",""
